country_name,iso3c,date_latest_pub,risk_of_distress,joint_w_wb,date_latest_exec_board_not_published,country_notes,dsa_list_date
NA,NA,NA,6/28/21,NA,NA,,2024-02-29
NA,NA,NA,12/14/23,NA,NA,,2024-02-29
NA,NA,NA,1/5/24,NA,NA,,2024-02-29
NA,NA,NA,5/24/22,NA,NA,,2024-02-29
NA,NA,NA,10/3/23,NA,NA,,2024-02-29
NA,NA,NA,7/25/23,NA,NA,,2024-02-29
NA,NA,NA,1/31/24,NA,NA,,2024-02-29
NA,NA,NA,2/22/24,NA,NA,,2024-02-29
NA,NA,NA,1/16/24,NA,NA,,2024-02-29
NA,NA,NA,11/6/23,NA,NA,,2024-02-29
NA,NA,NA,1/23/23,NA,NA,,2024-02-29
NA,NA,NA,1/8/24,NA,NA,,2024-02-29
NA,NA,NA,7/5/23,NA,NA,,2024-02-29
NA,NA,NA,1/12/24,NA,NA,,2024-02-29
NA,NA,NA,12/12/23,NA,NA,,2024-02-29
NA,NA,NA,5/12/20,NA,NA,,2024-02-29
NA,NA,NA,7/5/23,NA,NA,,2024-02-29
NA,NA,NA,NA,NA,NA,,2024-02-29
NA,NA,NA,5/6/20,NA,NA,,2024-02-29
NA,NA,NA,1/18/24,NA,NA,,2024-02-29
NA,NA,NA,1/25/24,NA,NA,,2024-02-29
NA,NA,NA,7/19/23,NA,NA,,2024-02-29
NA,NA,NA,1/23/23,NA,NA,,2024-02-29
NA,NA,NA,12/12/23,NA,NA,,2024-02-29
NA,NA,NA,2/7/23,NA,NA,,2024-02-29
NA,NA,NA,9/22/23,NA,NA,,2024-02-29
NA,NA,NA,1/17/24,NA,NA,,2024-02-29
NA,NA,NA,9/15/23,NA,NA,,2024-02-29
NA,NA,NA,3/4/24,NA,NA,,2024-02-29
NA,NA,NA,5/22/23,NA,NA,,2024-02-29
NA,NA,NA,7/20/23,NA,NA,,2024-02-29
NA,NA,NA,9/14/22,NA,NA,,2024-02-29
NA,NA,NA,3/21/23,NA,NA,,2024-02-29
NA,NA,NA,11/22/23,NA,NA,,2024-02-29
NA,NA,NA,11/11/23,NA,NA,,2024-02-29
NA,NA,NA,6/14/23,NA,NA,,2024-02-29
NA,NA,NA,10/26/23,NA,NA,,2024-02-29
NA,NA,NA,12/22/23,NA,NA,,2024-02-29
NA,NA,NA,3/4/24,NA,NA,,2024-02-29
NA,NA,NA,12/19/23,NA,NA,,2024-02-29
NA,NA,NA,1/16/24,NA,NA,,2024-02-29
NA,NA,NA,1/28/21,NA,NA,,2024-02-29
NA,NA,NA,5/4/23,NA,NA,,2024-02-29
NA,NA,NA,1/19/24,NA,NA,,2024-02-29
NA,NA,NA,7/12/23,NA,NA,,2024-02-29
NA,NA,NA,12/6/23,NA,NA,,2024-02-29
NA,NA,NA,12/18/23,NA,NA,,2024-02-29
NA,NA,NA,3/15/23,NA,NA,,2024-02-29
NA,NA,NA,9/20/22,NA,NA,,2024-02-29
NA,NA,NA,7/7/23,NA,NA,,2024-02-29
NA,NA,NA,11/27/23,NA,NA,,2024-02-29
NA,NA,NA,5/12/23,NA,NA,,2024-02-29
NA,NA,NA,12/20/23,NA,NA,,2024-02-29
NA,NA,NA,3/9/23,NA,NA,,2024-02-29
NA,NA,NA,11/17/22,NA,NA,,2024-02-29
NA,NA,NA,7/1/21,NA,NA,,2024-02-29
NA,NA,NA,3/28/23,NA,NA,,2024-02-29
NA,NA,NA,4/28/23,NA,NA,,2024-02-29
NA,NA,NA,2/27/24,NA,NA,,2024-02-29
NA,NA,NA,4/16/20,NA,NA,,2024-02-29
NA,NA,NA,11/3/23,NA,NA,,2024-02-29
NA,NA,NA,7/21/23,NA,NA,,2024-02-29
NA,NA,NA,6/23/23,NA,NA,,2024-02-29
NA,NA,NA,6/22/22,NA,NA,,2024-02-29
NA,NA,NA,3/22/23,NA,NA,,2024-02-29
NA,NA,NA,9/24/14,NA,NA,,2024-02-29
NA,NA,NA,12/20/23,NA,NA,,2024-02-29
NA,NA,NA,4/8/22,NA,NA,,2024-02-29
